class_uri,class_curie,class_label,predicate_uri,predicate_curie,predicate_label,count
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://schema.org/identifier,schema:identifier,schema:identifier,7
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/provider,schema:provider,schema:provider,6
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/name,schema:name,schema:name,6
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/description,schema:description,schema:description,5
http://schema.org/Review,schema:Review,schema:Review,http://schema.org/author,schema:author,schema:author,5
http://schema.org/Review,schema:Review,schema:Review,http://schema.org/datePublished,schema:datePublished,schema:datePublished,5
http://schema.org/Review,schema:Review,schema:Review,http://schema.org/itemReviewed,schema:itemReviewed,schema:itemReviewed,5
http://schema.org/Review,schema:Review,schema:Review,http://schema.org/reviewBody,schema:reviewBody,schema:reviewBody,5
http://schema.org/Review,schema:Review,schema:Review,http://schema.org/url,schema:url,schema:url,5
http://www.w3.org/2004/02/skos/core#ConceptScheme,skos:ConceptScheme,skos:ConceptScheme,http://www.w3.org/2004/02/skos/core#hasTopConcept,skos:hasTopConcept,skos:hasTopConcept,5
http://schema.org/DefinedTerm,schema:DefinedTerm,schema:DefinedTerm,http://schema.org/description,schema:description,schema:description,4
http://schema.org/DefinedTerm,schema:DefinedTerm,schema:DefinedTerm,http://schema.org/name,schema:name,schema:name,4
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/keywords,schema:keywords,schema:keywords,4
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/performer,schema:performer,schema:performer,4
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/subEvent,schema:subEvent,schema:subEvent,4
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/alternateName,schema:alternateName,schema:alternateName,4
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/url,schema:url,schema:url,4
http://schema.org/Place,schema:Place,schema:Place,http://schema.org/name,schema:name,schema:name,4
http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#exact,http://www.w3.org/ns/oa#exact,http://www.w3.org/ns/oa#exact,4
http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#prefix,http://www.w3.org/ns/oa#prefix,http://www.w3.org/ns/oa#prefix,4
http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#TextQuoteSelector,http://www.w3.org/ns/oa#suffix,http://www.w3.org/ns/oa#suffix,http://www.w3.org/ns/oa#suffix,4
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/description,schema:description,schema:description,3
http://schema.org/City,schema:City,schema:City,http://schema.org/containedInPlace,schema:containedInPlace,schema:containedInPlace,3
http://schema.org/City,schema:City,schema:City,http://schema.org/name,schema:name,schema:name,3
http://schema.org/MonetaryAmount,schema:MonetaryAmount,schema:MonetaryAmount,http://schema.org/citation,schema:citation,schema:citation,3
http://schema.org/MonetaryAmount,schema:MonetaryAmount,schema:MonetaryAmount,http://schema.org/currency,schema:currency,schema:currency,3
http://schema.org/MonetaryAmount,schema:MonetaryAmount,schema:MonetaryAmount,http://schema.org/description,schema:description,schema:description,3
http://schema.org/MonetaryAmount,schema:MonetaryAmount,schema:MonetaryAmount,http://schema.org/value,schema:value,schema:value,3
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/description,schema:description,schema:description,3
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/organizer,schema:organizer,schema:organizer,3
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://schema.org/startDate,schema:startDate,schema:startDate,3
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://wembrewind.live/ex#raisedAmount,ex:raisedAmount,ex:raisedAmount,3
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://wembrewind.live/ex#wasBroadcastBy,ex:wasBroadcastBy,ex:wasBroadcastBy,3
http://schema.org/MusicEvent,schema:MusicEvent,schema:MusicEvent,http://wembrewind.live/ex#wasBroadcastVia,ex:wasBroadcastVia,ex:wasBroadcastVia,3
http://schema.org/Organization,schema:Organization,schema:Organization,http://schema.org/sameAs,schema:sameAs,schema:sameAs,3
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/genre,schema:genre,schema:genre,3
http://schema.org/Person,schema:Person,schema:Person,http://wembrewind.live/ex#playsInstrument,ex:playsInstrument,ex:playsInstrument,3
http://schema.org/Place,schema:Place,schema:Place,http://schema.org/location,schema:location,schema:location,3
http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,http://schema.org/location,schema:location,schema:location,3
http://schema.org/StadiumOrArena,schema:StadiumOrArena,schema:StadiumOrArena,http://schema.org/name,schema:name,schema:name,3
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/genre,schema:genre,schema:genre,3
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://wembrewind.live/ex#playsInstrument,ex:playsInstrument,ex:playsInstrument,3
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,https://w3id.org/polifonia/ontology/music-meta/hasISRC,mm:hasISRC,mm:hasISRC,3
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/audience,schema:audience,schema:audience,2
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/isPartOf,schema:isPartOf,schema:isPartOf,2
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/location,schema:location,schema:location,2
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/name,schema:name,schema:name,2
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://schema.org/subEvent,schema:subEvent,schema:subEvent,2
http://schema.org/BroadcastEvent,schema:BroadcastEvent,schema:BroadcastEvent,http://wembrewind.live/ex#distributedVia,ex:distributedVia,ex:distributedVia,2
